id_me,morph,length_cm,weight_g,sex,mat,age,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,side,replica,bone,tooth_count
PC4263,PL,26.4,185,F,7,8,1.1320273,1.0768645,-0.449248548,Right,May,Maxilla,20
PC4264,PL,22,125,M,5,6,1.0651279,1.0597176,-0.596047368,Right,May,Maxilla,20
PC4266,PL,25,160,F,7,7,1.0146452,1.0378989,-0.462016051,Right,May,Maxilla,23
PC4267,PL,27.1,200,F,7,11,1.1886984,1.2210298,-0.352815197,Right,May,Maxilla,22
PC4268,SB,22,98.33,F,2,6,0.9121151,0.9926104,-0.420291765,Right,May,Maxilla,19
PC4269,SB,22.5,113.25,M,6,8,0.9306836,1.061864,-0.425912222,Right,May,Maxilla,21
PC4270,SB,21.9,111.02,F,7,7,0.9466703,1.0348432,-0.390184206,Right,May,Maxilla,22
PC4271,SB,20.2,82.76,F,2,5,0.772023,0.8076641,-0.610868916,Right,May,Maxilla,18
PC4272,SB,19.6,78.88,F,2,6,0.8082435,0.8258154,-0.681931392,Right,May,Maxilla,17
PC4273,SB,20.6,100.88,F,7,6,0.799517,0.9025003,-0.551536356,Right,May,Maxilla,16
PC4274,SB,19,77.67,F,7,6,0.8459988,0.8481039,-0.677543155,Right,May,Maxilla,21
PC4275,SB,18.6,70.99,F,2,8,0.7422235,0.7715224,-0.668638557,Right,May,Maxilla,20
PC4276,SB,17.8,73.1,F,7,5,0.6765509,0.8058694,-0.657055034,Right,May,Maxilla,20
PC4277,SB,18.9,78.02,F,2,7,0.6007126,0.7546978,-0.615955454,Right,May,Maxilla,18
PC4278,SB,19.1,84.33,F,7,6,0.8312094,0.8445676,-0.652437868,Right,May,Maxilla,18
PC4279,SB,20.5,82.97,M,7,11,0.9988387,1.0346174,-0.391683145,Right,May,Maxilla,24
PC4280,SB,19,75.13,M,6,7,0.853603,0.940296,-0.528535081,Right,May,Maxilla,17
PC4281,SB,13,19,F,7,6,0.4338218,0.4480576,-1.215923413,Right,May,Maxilla,18
PC4282,SB,20,80.29,M,5,6,0.86067,0.9196667,-0.559821208,Right,May,Maxilla,19
PC4283,SB,16,44.21,F,7,6,0.6100674,0.6401857,-0.843124792,Right,May,Maxilla,16
PC4284,SB,18.5,75.44,F,7,5,0.7596681,0.7976486,-0.687593107,Right,May,Maxilla,17
PC4285,SB,17.5,67.88,F,7,10,0.7036057,0.7524852,-0.737968344,Right,May,Maxilla,20
PC4286,SB,15.9,43.82,NA,NA,4,0.5571748,0.5874797,-0.852881234,Right,May,Maxilla,23
PC4287,SB,14,28.88,F,7,4,0.439141,0.5374793,-0.955612453,Right,May,Maxilla,17
PC4288,SB,11.8,23.27,F,7,4,0.2906554,0.388501,-1.071763696,Right,May,Maxilla,17
PC4290,SB,13,21.38,F,7,NA,0.3887905,0.3818622,-1.033876479,Right,May,Maxilla,12
PC4291,SB,12.5,16.71,M,3,4,0.3980498,0.5413425,-0.9620295,Right,May,Maxilla,19
PC4292,SB,10.6,12.42,F,7,6,0.2105322,0.2674388,-1.236524594,Right,May,Maxilla,18
PC4293,SB,12.4,17.9,M,6,6,0.503779,0.5206079,-0.988972865,Right,May,Maxilla,18
PC4294,SB,12.1,18.33,M,7,6,0.538666,0.5377838,-0.94952094,Right,May,Maxilla,20
PC4295,SB,12.9,26.57,M,7,4,0.3682033,0.510491,-0.982077135,Right,May,Maxilla,14
PC4296,SB,13.5,24.9,NA,NA,4,0.544503,0.5601062,-0.965486212,Right,May,Maxilla,18
PC4297,SB,11.1,14.46,F,7,4,0.2004732,0.230068,-1.24151212,Right,May,Maxilla,18
PC4298,SB,10.9,15.75,F,7,5,0.2201126,0.2927665,-1.196899994,Right,May,Maxilla,16
PC4299,SB,11.5,15.88,M,7,4,0.3218048,0.3786319,-1.065388755,Right,May,Maxilla,18
PC4300,SB,10.9,13.76,M,7,3,0.3131071,0.3919797,-1.099569273,Right,May,Maxilla,15
PC4301,PI,25,181.84,M,6,8,1.1934617,1.2328154,-0.343810919,Right,May,Maxilla,21
PC4302,PI,24.9,161.8,M,6,7,1.1811798,1.1125161,-0.388412544,Right,May,Maxilla,20
PC4303,PI,23.7,141.58,M,6,NA,1.1246548,1.1227614,-0.475286926,Right,May,Maxilla,22
PC4305,LB,37.1,543.07,M,7,6,1.4040684,1.4812446,-0.014852925,Right,May,Maxilla,23
PC4306,LB,34.2,550,M,7,6,1.2593819,1.3140327,-0.194486785,Right,May,Maxilla,19
PC4307,LB,50,1000,M,7,8,1.7519391,1.8277277,0.319980095,Right,May,Maxilla,20
PC4308,LB,50.1,1195,M,6,9,1.7605989,1.8687329,0.384537161,Right,May,Maxilla,23
PC4309,LB,52.1,1420,M,7,15,1.9546536,1.987697,0.637130595,Right,May,Maxilla,20
PC4310,LB,38.8,610,M,7,9,1.5343947,1.627293,0.042469279,Right,May,Maxilla,20
PC4311,LB,44,995,F,7,9,1.5482042,1.6431327,0.133767174,Right,May,Maxilla,24
PC4312,LB,42.6,1080,F,7,8,1.5017325,1.568459,0.024333405,Right,May,Maxilla,20
PC4313,LB,38.2,700,M,7,5,1.5226103,1.595413,0.055982206,Right,May,Maxilla,21
PC4314,LB,45.1,1135,M,7,13,1.7670563,1.6724955,0.259416495,Right,May,Maxilla,21
PC4315,LB,49,1565,M,7,11,1.8284066,1.9344247,0.408054538,Right,May,Maxilla,20
PC4316,LB,49.8,1370,M,7,12,2.0418131,1.9711637,0.561065627,Right,May,Maxilla,26
PC4317,LB,43.8,1030,F,7,6,1.4157388,1.6160668,0.071886114,Right,May,Maxilla,23
PC4318,LB,36.3,545,M,7,8,1.4133064,1.5068619,0.056541169,Right,May,Maxilla,20
PC4319,LB,47.4,1085,F,7,8,1.6055533,1.6879065,0.289266956,Right,May,Maxilla,21
