id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC4316,LB,49.8,1370,1.9711637,M,,Left,1,0.52,0.57,42.3735944
PC4317,LB,43.8,1030,1.6160668,F,,Left,1,0.56,0.55,45.5161642
PC4318,LB,36.3,545,1.5068619,M,,Left,1,0.56,0.36,57.2647737
PC4319,LB,47.4,1085,1.6879065,F,,Left,1,0.63,0.47,53.2758928
PC4320,LB,32.9,385,1.3119226,M,,Left,1,0.35,0.26,53.3929252
PC4321,LB,30.8,320,1.3107995,M,,Left,1,0.38,0.39,44.2559408
PC4322,LB,41.4,980,1.6615154,M,,Left,1,0.42,0.41,45.6902772
PC4323,LB,41.7,920,1.5235916,F,,Left,1,0.51,0.22,66.6659587
PC4324,LB,44,1040,1.7371992,M,,Left,1,0.69,0.34,63.7680601
PC4325,LB,34,400,1.5379994,M,,Left,1,0.51,0.36,54.782407
PC4326,LB,39.9,780,1.6107263,M,,Left,1,0.63,0.41,56.9441772
PC4327,LB,53,1935,1.9067253,M,,Left,1,0.55,0.49,48.3018657
PC4328,LB,41.2,780,1.791991,M,,Left,1,0.45,0.43,46.3019527
PC4329,LB,35.4,670,1.546863,M,,Left,1,0.45,0.36,51.3401918
PC4330,LB,41.9,925,1.6367833,M,,Left,1,0.57,0.44,52.3343788
PC4331,LB,40.8,800,1.5876506,F,,Left,1,0.46,0.25,61.4768814
PC4332,LB,30.3,330,1.2816562,M,,Left,1,0.41,0.29,54.7275786
PC4333,LB,43,830,1.6951557,M,,Left,1,0.53,0.39,53.6525418
PC4334,LB,44,960,1.5919754,F,,Left,1,0.51,0.4,51.8924231
PC4349,PL,25.2,119.64,0.9769251,F,,Left,1,0.2,0.21,43.602819
PC4350,PL,17.4,38.03,0.5415976,M,,Left,1,0.1,0.18,29.0546041
PC4351,PL,19,54.31,0.7631699,M,,Left,1,0.14,0.19,36.3843518
PC4352,PL,21.2,76.26,0.8073999,F,,Left,1,0.15,0.13,49.0856168
PC4353,PL,17.4,38.43,0.622764,F,,Left,1,0.12,0.12,45
PC4354,PL,21.4,77.76,0.8188653,M,,Left,1,0.05,0.23,12.2647737
PC4355,PL,18,40.49,0.7022678,M,,Left,1,0.05,0.2,14.0362435
PC4356,PL,21.4,74.03,0.8507629,M,,Left,1,0.13,0.2,33.0238676
PC4357,PL,21.8,89.24,0.8423585,F,,Left,1,0.15,0.14,46.974934
PC4358,PL,21,70.3,0.7967478,F,,Left,1,0.16,0.11,55.491477
PC4359,PL,22.4,101.1,0.9494218,F,,Left,1,0.16,0.13,50.9061411
PC4360,PL,23.2,91.75,0.9113611,F,,Left,1,0.13,0.16,39.0938589
PC4361,PL,21.4,80.68,0.8588207,F,,Left,1,0.09,0.13,34.6951535
PC4363,PL,18.2,41.6,0.6655296,F,,Left,1,0.1,0.18,29.0546041
PC4364,PL,20.4,62.64,0.8018161,F,,Left,1,0.16,0.12,53.1301024
PC4365,PL,24,109.96,1.0183329,F,,Left,1,0.15,0.15,45
PC4366,PL,15.8,27.36,0.5192614,M,,Left,1,0.02,0.22,5.1944289
PC4367,PL,19.2,57.5,0.7213126,F,,Left,1,0.09,0.17,27.897271
PC4368,PL,20,55.21,0.683579,F,,Left,1,0.11,0.14,38.1572266
PC4369,PL,18.2,49.95,0.6556324,F,,Left,1,0.1,0.09,48.0127875
