id,morph,length_cm,weight_g,sex,head_length,bone,teeth_count
86,SB,12.2,21,F,29.92,Palatine,NA
87,SB,13.8,28,F,35.3,Palatine,13
88,SB,14.5,36,F,37.49,Palatine,NA
89,SB,17.2,48,F,44.14,Palatine,16
96,SB,9.6,10,M,24.62,Palatine,NA
97,SB,9.9,12,F,25.9,Palatine,13
100,SB,13.5,29,M,36.35,Palatine,15
163,SB,11,16,M,29.2,Palatine,17
169,SB,15.6,44,F,43.23,Palatine,13
170,SB,14,38,F,32.85,Palatine,14
171,SB,16,46,F,38.14,Palatine,14
172,SB,16.3,49,F,38.9,Palatine,12
179,SB,16.5,54,F,40.97,Palatine,16
180,SB,14.8,45,M,39.5,Palatine,14
182,SB,10.8,14,M,26.84,Palatine,9
183,SB,12,18,F,26.91,Palatine,13
184,SB,11.2,15,F,26.33,Palatine,14
187,SB,11.8,20,F,30.05,Palatine,11
189,SB,15.6,43,F,39.22,Palatine,16
31,LB,28.5,322,F,67.41,Palatine,19
32,LB,25,188,M,55.51,Palatine,14
33,LB,18.5,68,F,45.85,Palatine,11
34,LB,24,147,F,52.46,Palatine,13
35,LB,36,605,F,80.5,Palatine,16
36,LB,30.5,323,F,71.55,Palatine,15
37,LB,29,288,M,63.91,Palatine,19
38,LB,26,218,F,59.39,Palatine,14
39,LB,27,251,F,62.29,Palatine,16
40,LB,30,385,F,67.74,Palatine,13
41,LB,26.5,211,F,66.01,Palatine,19
42,LB,30.5,378,M,71.66,Palatine,16
43,LB,21,113,M,43.88,Palatine,12
44,LB,23.3,156,M,53.87,Palatine,11
45,LB,26.5,237,M,60.01,Palatine,13
47,LB,28.6,267,M,58.36,Palatine,14
48,LB,29.6,320,M,69.74,Palatine,16
49,LB,29.4,319,M,69.29,Palatine,10
50,LB,31.5,393,F,81.22,Palatine,16
51,LB,30.3,328,M,68.15,Palatine,18
52,LB,31.4,410,F,73.37,Palatine,17
107,LB,28.4,296,F,64.83,Palatine,12
108,LB,28,303,M,65.02,Palatine,17
109,LB,28,287,F,62.07,Palatine,15
110,LB,29.5,354,M,65.41,Palatine,NA
111,LB,30.7,395,M,67.42,Palatine,11
112,LB,30.5,334,F,68.05,Palatine,16
113,LB,30.9,380,F,66.07,Palatine,13
114,LB,36.6,665,M,87.28,Palatine,16
115,LB,32.3,453,M,63.3,Palatine,13
117,LB,29.5,337,F,79.93,Palatine,15
118,LB,29.7,353,F,66.16,Palatine,15
1,PL,16.5,54,M,38.5,Palatine,16
2,PL,17,57,M,39.5,Palatine,18
3,PL,17,61,M,NA,Palatine,15
4,PL,14.5,40,M,35.81,Palatine,17
5,PL,15,44,M,35.5,Palatine,14
6,PL,17.5,62,M,42.5,Palatine,17
7,PL,18,74,M,43.4,Palatine,17
8,PL,16.5,57,M,38.8,Palatine,15
53,PL,14.5,35,M,33.85,Palatine,15
54,PL,15.6,49,M,37.82,Palatine,14
55,PL,15.9,48,M,39.95,Palatine,9
56,PL,16.2,53,M,36.48,Palatine,17
57,PL,16.3,55,M,40.23,Palatine,17
58,PL,16.6,56,M,38.52,Palatine,15
59,PL,15.8,49,M,39.84,Palatine,12
60,PL,18.9,77,M,44.42,Palatine,16
61,PL,18.8,82,M,46.22,Palatine,16
62,PL,14.4,40,M,33.83,Palatine,13
90,PL,17.5,64,M,39.73,Palatine,8
91,PL,17.1,63,M,39.01,Palatine,15
92,PL,16.3,55,M,43.52,Palatine,17
93,PL,16.5,61,M,41.08,Palatine,15
192,PL,15.5,40,F,31.36,Palatine,13
194,PL,16,42,M,38.57,Palatine,13
195,PL,15.8,44,M,38.57,Palatine,16
196,PL,16.3,45,F,36.51,Palatine,17
197,PL,19.3,70,M,42.18,Palatine,18
198,PL,19.2,77,M,44.96,Palatine,19
199,PL,17.7,53,F,37.28,Palatine,15
200,PL,18.3,54,F,43.18,Palatine,17
201,PL,19.6,77,F,45.23,Palatine,18
202,PL,20.8,96,M,45.12,Palatine,16
203,PL,15.8,50,M,35.98,Palatine,16
204,PL,16.2,57,M,37.99,Palatine,18
205,PL,16.5,48,M,39.07,Palatine,15
206,PL,18,69,M,41.86,Palatine,20
207,PL,19.8,88,M,48.17,Palatine,17
24,PI,23.6,145,M,55.69,Palatine,14
25,PI,31.5,414,F,67.3,Palatine,17
26,PI,24.5,205,M,57.82,Palatine,15
27,PI,37.5,727,M,103.21,Palatine,18
28,PI,36,547,M,82.82,Palatine,16
29,PI,40,845,F,92.32,Palatine,11
30,PI,33.5,560,M,82.35,Palatine,13
63,PI,25.3,188,M,60.75,Palatine,16
65,PI,29,265,F,68.49,Palatine,15
66,PI,27.8,251,F,64.69,Palatine,15
67,PI,28.5,250,M,68,Palatine,18
68,PI,27.7,268,M,66.97,Palatine,15
69,PI,28.2,250,M,66.73,Palatine,12
72,PI,30,354,M,78.04,Palatine,17
94,PI,50.3,1624,M,125.4,Palatine,16
95,PI,59.4,3626,M,151.2,Palatine,19
103,PI,32.5,439,F,75.43,Palatine,13
104,PI,35.7,527,M,81.41,Palatine,13
105,PI,35.3,683,M,83.97,Palatine,16
106,PI,50.6,1576,M,140.39,Palatine,21
119,PI,21.7,111,F,52.39,Palatine,NA
120,PI,22,114,M,48.66,Palatine,18
121,PI,23.4,118,F,50.55,Palatine,20
122,PI,24.2,147,F,55.59,Palatine,19
123,PI,18.7,69,M,45.83,Palatine,19
124,PI,20.9,102,M,48.11,Palatine,21
125,PI,17.5,51,M,44.09,Palatine,20
126,PI,21.5,99,F,45.41,Palatine,17
127,PI,23,117,M,52.08,Palatine,18
128,PI,24,151,F,50.03,Palatine,19
129,PI,26.5,212,F,57.85,Palatine,21
133,PI,22.6,138,M,53.32,Palatine,17
139,PI,30.8,356,M,78.42,Palatine,14
143,PI,30.7,315,F,64.64,Palatine,18
146,PI,28.6,274,M,74.53,Palatine,18
154,PI,25.2,161,F,57.92,Palatine,15
9,SB,12.5,22,F,32.16,Vomer,8
10,SB,14,37,F,36.2,Vomer,4
11,SB,16,23,F,28.7,Vomer,7
14,SB,12.5,25,F,29.1,Vomer,6
16,SB,12.5,23,F,31.03,Vomer,6
17,SB,13,24,F,31.3,Vomer,5
18,SB,14,37,F,36,Vomer,5
19,SB,14.5,33,F,34.1,Vomer,8
22,SB,14.5,30,F,34.6,Vomer,NA
81,SB,12.2,23,F,29.59,Vomer,3
82,SB,13.1,24,F,31.45,Vomer,NA
83,SB,14.5,33,M,38.55,Vomer,6
84,SB,14,31,F,34.48,Vomer,7
85,SB,15,42,M,39.03,Vomer,5
86,SB,12.2,21,F,29.92,Vomer,5
87,SB,13.8,28,F,35.3,Vomer,7
88,SB,14.5,36,F,37.49,Vomer,6
89,SB,17.2,48,F,44.14,Vomer,6
96,SB,9.6,10,M,24.62,Vomer,4
